software;mouseReMoCo;;;screenHeight 995;centerX 953;centerY 497;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 536;cornerY 80;externalRadius 417;internalRadius 337;borderRadius 1;cursorRadius 16;indexOfDifficulty 50.33232485432158;taskRadius 376.5;taskTolerance 47
01/12/2025;16:16:42.378;100;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
timestamp;mouseX;mouseY;mouseInTarget;;;;;;;;;;;;;;;;;;;;;
1764602207659;888;125;1;;;;;;;;;;;;;;;;;;;;;
1764602207666;887;125;1;;;;;;;;;;;;;;;;;;;;;
1764602207673;885;125;1;;;;;;;;;;;;;;;;;;;;;
1764602207681;883;126;1;;;;;;;;;;;;;;;;;;;;;
1764602207687;881;127;1;;;;;;;;;;;;;;;;;;;;;
1764602207695;878;128;1;;;;;;;;;;;;;;;;;;;;;
1764602207701;875;128;1;;;;;;;;;;;;;;;;;;;;;
1764602207709;872;130;1;;;;;;;;;;;;;;;;;;;;;
1764602207717;869;132;1;;;;;;;;;;;;;;;;;;;;;
1764602207722;866;132;1;;;;;;;;;;;;;;;;;;;;;
1764602207731;861;134;1;;;;;;;;;;;;;;;;;;;;;
1764602207737;857;136;1;;;;;;;;;;;;;;;;;;;;;
1764602207745;852;137;1;;;;;;;;;;;;;;;;;;;;;
1764602207750;848;139;1;;;;;;;;;;;;;;;;;;;;;
1764602207759;843;140;1;;;;;;;;;;;;;;;;;;;;;
1764602207766;839;142;1;;;;;;;;;;;;;;;;;;;;;
1764602207772;833;145;1;;;;;;;;;;;;;;;;;;;;;
1764602207781;828;148;1;;;;;;;;;;;;;;;;;;;;;
1764602207788;822;152;1;;;;;;;;;;;;;;;;;;;;;
1764602207795;818;155;1;;;;;;;;;;;;;;;;;;;;;
1764602207802;811;160;1;;;;;;;;;;;;;;;;;;;;;
1764602207808;804;164;1;;;;;;;;;;;;;;;;;;;;;
1764602207816;799;168;1;;;;;;;;;;;;;;;;;;;;;
1764602207822;795;171;1;;;;;;;;;;;;;;;;;;;;;
1764602207830;790;174;1;;;;;;;;;;;;;;;;;;;;;
1764602207837;787;176;1;;;;;;;;;;;;;;;;;;;;;
1764602207844;783;178;1;;;;;;;;;;;;;;;;;;;;;
1764602207851;780;180;1;;;;;;;;;;;;;;;;;;;;;
1764602208136;773;182;1;;;;;;;;;;;;;;;;;;;;;
1764602208143;764;186;1;;;;;;;;;;;;;;;;;;;;;
1764602208152;757;189;1;;;;;;;;;;;;;;;;;;;;;
1764602208156;749;192;1;;;;;;;;;;;;;;;;;;;;;
1764602208164;742;195;1;;;;;;;;;;;;;;;;;;;;;
1764602208171;735;198;1;;;;;;;;;;;;;;;;;;;;;
1764602208179;727;201;1;;;;;;;;;;;;;;;;;;;;;
1764602208185;721;204;1;;;;;;;;;;;;;;;;;;;;;
1764602208193;715;208;1;;;;;;;;;;;;;;;;;;;;;
1764602208201;710;211;1;;;;;;;;;;;;;;;;;;;;;
1764602208206;706;213;1;;;;;;;;;;;;;;;;;;;;;
1764602208213;703;216;1;;;;;;;;;;;;;;;;;;;;;
1764602208221;698;220;1;;;;;;;;;;;;;;;;;;;;;
1764602208229;696;222;1;;;;;;;;;;;;;;;;;;;;;
1764602208235;693;225;1;;;;;;;;;;;;;;;;;;;;;
1764602208243;690;227;1;;;;;;;;;;;;;;;;;;;;;
